0.2158,0.1672,0.3313,0.1667,0.3519,0.4691,0.5354,0.2273,0.5251,0.3354,0.3275,0.6625,0.4685,1
0.1463,0.1793,0.2415,0.02,0.1852,0.4304,0.4764,0.197,0.243,0.2385,0.3333,0.5325,0.4595,1
0.1436,0.2793,0.4056,0.2667,0.1914,0.4691,0.5709,0.2576,0.6704,0.3385,0.3216,0.475,0.5399,1
0.2252,0.2086,0.3529,0.2067,0.2654,0.7397,0.6201,0.1667,0.4944,0.5015,0.2222,0.545,0.7155,1
0.149,0.319,0.4675,0.3467,0.2963,0.4691,0.4626,0.3939,0.3939,0.2338,0.3275,0.415,0.272,1
0.2138,0.1759,0.3375,0.1533,0.2593,0.5902,0.6004,0.3182,0.4358,0.4208,0.3333,0.395,0.6976,1
0.2266,0.1948,0.3375,0.1333,0.1605,0.3918,0.4291,0.2576,0.4385,0.3054,0.3158,0.5775,0.6024,1
0.2043,0.2431,0.387,0.2333,0.3148,0.4175,0.4272,0.2727,0.2346,0.29,0.3392,0.5775,0.6054,1
0.2562,0.1552,0.2508,0.1133,0.1667,0.4691,0.5197,0.2424,0.4385,0.3015,0.3509,0.395,0.4565,1
0.1908,0.1052,0.2817,0.18,0.1728,0.5155,0.5531,0.1364,0.4022,0.4569,0.3099,0.57,0.4565,1
0.207,0.2448,0.291,0.2467,0.216,0.5077,0.5866,0.1364,0.5503,0.3438,0.4503,0.475,0.7333,1
0.2084,0.1276,0.2972,0.2067,0.1543,0.3144,0.4114,0.197,0.324,0.2862,0.4035,0.3875,0.5964,1
0.1834,0.1707,0.3251,0.18,0.1173,0.4175,0.4764,0.2424,0.3911,0.3323,0.3918,0.4075,0.6202,1
0.2508,0.1707,0.3189,0.02667,0.1296,0.5464,0.6594,0.4545,0.6704,0.3169,0.4503,0.365,0.519,1
0.2259,0.1948,0.3158,0.04667,0.1975,0.5979,0.6496,0.2424,0.7123,0.4785,0.4211,0.4325,0.7554,1
0.1753,0.1845,0.4149,0.22,0.2593,0.482,0.5059,0.2576,0.2933,0.4631,0.4678,0.4025,0.6143,1
0.2205,0.2034,0.4211,0.3133,0.3086,0.4691,0.5512,0.303,0.4358,0.3785,0.345,0.345,0.5964,1
0.1888,0.1431,0.3901,0.3133,0.2778,0.5077,0.6024,0.4091,0.3659,0.4092,0.3801,0.325,0.5071,1
0.2131,0.1466,0.3467,0.1967,0.2346,0.5979,0.7067,0.2879,0.405,0.5708,0.4386,0.3875,0.8345,1
0.176,0.4069,0.3715,0.1533,0.284,0.4433,0.5295,0.06061,0.3492,0.2938,0.2807,0.5225,0.3375,1
0.2043,0.1534,0.2848,0.18,0.3457,0.5206,0.5571,0.1667,0.4721,0.3362,0.3567,0.61,0.2988,1
0.1281,0.5276,0.3994,0.2667,0.1975,0.3686,0.4075,0.1818,0.4385,0.2477,0.3216,0.5625,0.2929,1
0.1807,0.1931,0.3096,0.2,0.1914,0.4201,0.5,0.2121,0.3575,0.1938,0.3684,0.6825,0.4506,1
0.1227,0.1483,0.3591,0.24,0.1543,0.3866,0.3996,0.197,0.2933,0.2038,0.3567,0.59,0.4387,1
0.1666,0.1845,0.387,0.3133,0.1605,0.3995,0.4469,0.2273,0.3492,0.1723,0.3743,0.6375,0.3375,1
0.1362,0.2259,0.5759,0.48,0.3333,0.4253,0.4606,0.5152,0.4218,0.1769,0.3801,0.4825,0.3286,1
0.1591,0.1776,0.3901,0.1833,0.142,0.482,0.5118,0.3182,0.2905,0.2708,0.2573,0.4875,0.5458,1
0.1531,0.169,0.2415,0.2133,0.1481,0.366,0.3642,0.2121,0.2626,0.2054,0.3158,0.375,0.5994,1
0.1915,0.2,0.4458,0.2933,0.2284,0.5077,0.5177,0.3636,0.3771,0.2477,0.4503,0.5325,0.3792,1
